Id, Label           , modularity_class, X          , Y          , Size
11, Valjean         ,                1, -87.93029  , 6.812057   , 100
48, Gavroche        ,                8, 387.895721 , -110.462326,  61.600006
55, Marius          ,                6, 206.446869 , 13.805411  ,  53.371429
27, Javert          ,                7, -81.460739 , 204.202042 ,  47.885712
25, Thenardier      ,                7, 82.80825   , 203.114395 ,  45.142853
23, Fantine         ,                2, -313.427856, 289.448029 ,  42.400002
58, Enjolras        ,                8, 355.783661 , 74.882454  ,  42.400002
62, Courfeyrac      ,                8, 436.171844 , 12.728683  ,  36.914291
64, Bossuet         ,                8, 455.81955  , 115.45826  ,  36.914291
63, Bahorel         ,                8, 602.552246 , -16.421427 ,  34.171429
65, Joly            ,                8, 516.407837 , -47.242233 ,  34.171429
24, MmeThenardier   ,                7, 4.63134    , 273.851715 ,  31.428574
26, Cosette         ,                6, 78.646461  , 31.512747  ,  31.428574
41, Eponine         ,                7, 238.366974 , 210.009262 ,  31.428574
57, Mabeuf          ,                8, 597.661804 , -135.184814,  31.428574
59, Combeferre      ,                8, 515.296082 , 46.167564  ,  31.428574
61, Feuilly         ,                8, 550.191711 , 128.175369 ,  31.428574
 0, Myriel          ,                0, -266.827759, -299.690399,  28.685715
66, Grantaire       ,                8, 646.431274 , 151.063309 ,  28.685715
68, Gueulemer       ,                7, 78.479897  , 347.151459 ,  28.685715
69, Babet           ,                7, 150.359589 , 298.507965 ,  28.685715
70, Claquesous      ,                7, 137.371704 , 410.280914 ,  28.685715
16, Tholomyes       ,                2, -385.222595, 393.55719  ,  25.942856
60, Prouvaire       ,                8, 614.292847 , 69.310402  ,  25.942856
71, Montparnasse    ,                7, 234.877472 , 400.859833 ,  25.942856
29, Bamatabois      ,                3, -385.684204, 20.206686  ,  23.200001
17, Listolier       ,                2, -516.558838, 393.989746 ,  20.457146
18, Fameuil         ,                2, -464.793823, 493.579437 ,  20.457146
19, Blacheville     ,                2, -515.162415, 456.989105 ,  20.457146
20, Favourite       ,                2, -408.121216, 464.504791 ,  20.457146
21, Dahlia          ,                2, -456.441132, 425.133026 ,  20.457146
22, Zephine         ,                2, -459.110687, 362.513306 ,  20.457146
49, Gillenormand    ,                6, 126.483101 , -68.106216 ,  20.457146
51, MlleGillenormand,                6, 162.63559  , -117.656502,  20.457146
75, Brujon          ,                7, 238.79364  , 314.063446 ,  20.457146
76, MmeHucheloup    ,                8, 712.183533 , -4.813149  ,  20.457146
34, Judge           ,                3, -387.849152, -58.705898 ,  17.714287
35, Champmathieu    ,                3, -338.230713, -87.484047 ,  17.714287
36, Brevet          ,                3, -453.268738, -58.94648  ,  17.714287
37, Chenildieu      ,                3, -386.449036, -140.059372,  17.714287
38, Cochepaille     ,                3, -446.787598, -123.380051,  17.714287
28, Fauchelevent    ,                4, -225.739838, -82.416313 ,  12.228573
31, Simplice        ,                2, -281.425293, 158.45137  ,  12.228573
54, LtGillenormand  ,                6, 137.693481 , -196.106903,  12.228573
 2, MlleBaptistine  ,                1, -212.763565, -245.291763,   9.485714
 3, MmeMagloire     ,                1, -242.824036, -235.262833,   9.485714
39, Pontmercy       ,                6, 336.497375 , 269.559143 ,   9.485714
42, Anzelma         ,                7, 189.695129 , 346.506622 ,   9.485714
43, Woman2          ,                6, -187.004181, 145.026627 ,   9.485714
72, Toussaint       ,                1, 40.942253  , -113.782722,   9.485714
12, Marguerite      ,                1, -339.779083, 184.691391 ,   6.742859
30, Perpetue        ,                2, -403.924469, 197.698227 ,   6.742859
33, Woman1          ,                1, -234.600098, 113.150673 ,   6.742859
44, MotherInnocent  ,                4, -252.995209, -129.875488,   6.742859
47, MmeBurgon       ,                5, 488.135345 , -356.8573  ,   6.742859
50, Magnon          ,                6, 127.073647 , 113.059227 ,   6.742859
52, MmePontmercy    ,                6, 353.664154 , 205.891647 ,   6.742859
56, BaronessT       ,                6, 194.829926 , -224.780365,   6.742859
73, Child1          ,                8, 437.938995 , -291.582336,   6.742859
74, Child2          ,                8, 466.049225 , -283.360596,   6.742859
 1, Napoleon        ,                0, -418.083435, -446.885315,   4
 4, CountessDeLo    ,                0, -379.303864, -429.06424 ,   4
 5, Geborand        ,                0, -417.263367, -406.035065,   4
 6, Champtercier    ,                0, -332.601196, -485.169739,   4
 7, Cravatte        ,                0, -382.695679, -475.091125,   4
 8, Count           ,                0, -320.384003, -387.173248,   4
 9, OldMan          ,                0, -344.398315, -451.167725,   4
10, Labarre         ,                1, -89.341072 , -234.561279,   4
13, MmeDeR          ,                1, -194.313126, -178.553009,   4
14, Isabeau         ,                1, -158.051682, -201.997681,   4
15, Gervais         ,                1, -127.701546, -242.550568,   4
32, Scaufflaire     ,                1, -122.413483, -210.375031,   4
40, Boulatruelle    ,                7, 29.187843  , 460.131317 ,   4
45, Gribier         ,                4, -296.079346, -163.119644,   4
46, Jondrette       ,                5, 550.320129 , -522.403076,   4
53, MlleVaubois     ,                6, 165.439392 , -339.77359 ,   4
67, MotherPlutarch  ,                8, 668.956787 , -204.654877,   4
